epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43681,1.66422,3.77705,1.93893,0.63968,0.56482,0.5726,0.38278,0.98496,5.26244,1.17228,7.5e-05,7.5e-05,7.5e-05
2,7.88494,1.20912,1.60189,1.40929,0.71249,0.76132,0.77384,0.50316,1.24206,3.48453,1.37644,0.000160891,0.000160891,0.000160891
3,12.3415,1.18659,1.22525,1.35353,0.69261,0.66485,0.69492,0.45717,1.28348,3.16127,1.40671,0.00024505,0.00024505,0.00024505
4,94.7704,1.15509,1.07139,1.34602,0.69648,0.81521,0.84636,0.56947,1.18321,3.98106,1.50715,0.000327476,0.000327476,0.000327476
5,99.1775,1.17388,1.0086,1.35615,0.13464,0.6325,0.19107,0.11879,1.36272,17.0898,1.9452,0.00040817,0.00040817,0.00040817
6,119.923,1.22833,1.04089,1.38576,0.14138,0.76212,0.20919,0.12207,1.50666,22.6954,2.73143,0.000487131,0.000487131,0.000487131
7,124.149,1.2416,1.07635,1.42831,0.08518,0.66322,0.10761,0.05638,1.6731,83.5082,2.48402,0.00056436,0.00056436,0.00056436
8,128.242,1.23664,1.09353,1.42531,0.08371,0.39984,0.08729,0.03111,2.05435,inf,5.91672,0.000639856,0.000639856,0.000639856
9,132.413,1.20802,1.08583,1.43258,0.4547,0.49488,0.40835,0.24395,1.7324,19.5447,2.39545,0.00071362,0.00071362,0.00071362
10,136.608,1.21202,1.13268,1.4495,0.30179,0.69675,0.43483,0.22925,1.53557,19.2229,1.9226,0.000785651,0.000785651,0.000785651
11,140.966,1.23896,1.06191,1.41163,0.22074,0.59774,0.2109,0.14382,1.62824,31.6782,2.01332,0.00085595,0.00085595,0.00085595
12,145.185,1.28672,1.0453,1.47108,0.28892,0.56095,0.37901,0.21057,1.75651,12.1069,2.59294,0.000924516,0.000924516,0.000924516
13,149.262,1.27508,1.07529,1.46919,0.48971,0.48632,0.4064,0.24627,1.60049,7.31395,2.17658,0.00099135,0.00099135,0.00099135
14,153.465,1.24677,1.08587,1.47274,0.47171,0.34826,0.39246,0.25687,1.55241,3.01412,1.87686,0.00105645,0.00105645,0.00105645
15,157.682,1.20162,0.98763,1.44767,0.53631,0.48705,0.44099,0.28386,1.70566,2.405,1.86731,0.00107675,0.00107675,0.00107675
16,161.889,1.20655,1.01216,1.43917,0.63352,0.5952,0.62007,0.35211,1.63672,1.81986,1.85018,0.00106437,0.00106437,0.00106437
17,166.014,1.19363,0.98337,1.38909,0.67475,0.5646,0.60406,0.38119,1.54953,1.7993,1.87696,0.001052,0.001052,0.001052
18,170.295,1.14921,0.93854,1.38201,0.64933,0.57075,0.59696,0.36066,1.66783,2.03675,2.03928,0.00103962,0.00103962,0.00103962
19,174.435,1.24194,0.96327,1.43783,0.69589,0.75422,0.77639,0.45553,1.60247,1.67497,1.9215,0.00102725,0.00102725,0.00102725
20,178.608,1.18784,0.87226,1.40952,0.72433,0.73781,0.72755,0.47858,1.34527,1.81589,1.59361,0.00101488,0.00101488,0.00101488
21,182.779,1.2136,0.94325,1.44918,0.66973,0.66557,0.69242,0.44886,1.51148,1.96552,1.73233,0.0010025,0.0010025,0.0010025
